Temp,Humidity,Cloud Cover,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,avgjune,sub,flood
30.6,100.0,5.1,1239.2,27.1,55.2,1084.5,72.4,240.7,Kerala,0
28.7,52.0,5.9,1312.2,10.3,135.0,1052.9,114.0,252.6,Coastal Karnataka,1
27.9,73.0,6.9,1171.8,0.0,28.3,1143.5,0.0,282.0,Konkan & Goa,0
30.4,75.6,3.0,1253.3,27.5,49.4,999.6,176.8,270.9,East Rajasthan,1
32.8,83.0,5.9,1943.4,0.0,23.0,1780.6,139.8,432.9,Kerala,1
30.6,71.2,4.5,764.0,15.2,88.6,591.6,68.6,163.8,Vidarbha,0
20.6,73.7,6.7,532.7,34.1,110.7,386.8,1.1,96.7,Coastal Andhra Pradesh,0
22.5,65.3,0.7,1006.6,22.9,110.1,782.1,91.5,192.0,Kerala,0
24.8,73.2,4.8,597.7,49.2,96.7,429.6,22.2,112.4,Konkan & Goa,0
27.1,65.9,3.8,639.6,35.4,54.1,452.3,97.8,105.3,East Rajasthan,0
28.8,77.5,,755.3,10.2,49.0,599.6,96.5,141.3,Coastal Karnataka,0
24.5,,5.9,695.9,20.4,9.9,623.3,42.3,121.7,Konkan & Goa,0
27.7,74.5,3.6,878.8,19.3,121.1,613.6,124.8,148.4,Konkan & Goa,0
24.4,69.6,3.6,1241.8,0.0,74.1,1055.5,112.2,254.3,Coastal Andhra Pradesh,0
24.9,83.5,,918.2,5.9,45.2,748.1,119.0,176.7,Gangetic West Bengal,0
22.1,69.4,3.2,1037.9,11.6,99.8,846.1,80.4,219.9,East Rajasthan,0
23.8,48.7,6.7,1222.5,0.0,30.8,1168.3,23.4,305.2,Bihar,1
22.3,85.1,4.3,882.1,20.7,72.2,670.1,119.1,172.2,Konkan & Goa,0
23.6,59.1,0.0,960.9,16.3,54.8,820.6,69.2,225.1,Gangetic West Bengal,0
,62.2,4.3,1113.3,0.0,79.2,1009.7,24.4,263.9,Bihar,0
23.7,62.9,2.9,535.8,26.1,58.1,317.5,134.1,73.5,East Rajasthan,0
36.2,86.5,1.7,395.7,30.7,16.5,184.5,164.0,36.9,Assam & Meghalaya,0
28.7,44.4,2.5,1167.9,23.4,62.3,1003.8,78.4,257.2,Vidarbha,1
27.6,100.0,5.2,1320.6,15.1,91.5,1047.6,166.4,273.4,Gangetic West Bengal,1
24.0,82.7,7.7,1691.0,28.9,59.1,1519.3,83.7,407.8,Madhya Maharashtra,1
29.5,,5.6,1125.7,30.2,83.3,947.4,64.8,260.7,Assam & Meghalaya,0
25.0,69.3,3.8,1253.9,24.6,28.6,1145.9,54.8,275.6,Vidarbha,1
27.4,73.4,5.9,1053.7,7.6,59.2,841.4,145.5,208.3,Coastal Andhra Pradesh,0
36.0,76.3,4.1,1103.4,24.1,41.3,989.2,48.8,260.7,Kerala,1
26.7,77.7,3.6,1629.9,37.9,82.4,1400.2,109.4,371.4,Coastal Karnataka,1
31.0,76.7,2.7,392.4,11.1,60.9,262.8,57.6,84.5,Madhya Maharashtra,0
24.5,71.1,1.5,1217.9,51.5,80.7,1024.1,61.6,254.7,Coastal Andhra Pradesh,1
26.9,67.6,4.2,1766.6,12.1,92.6,1540.7,121.2,360.1,East Rajasthan,1
33.2,68.2,5.3,1150.6,20.5,80.7,984.6,64.8,226.2,Coastal Andhra Pradesh,0
24.8,67.7,4.8,1537.1,9.9,68.2,1395.2,63.8,354.3,Kerala,0
33.3,,4.2,889.9,23.3,30.1,711.2,125.3,184.6,East Rajasthan,0
29.5,77.1,3.1,1094.2,0.0,59.9,890.4,143.9,200.6,Madhya Maharashtra,0
25.0,34.7,6.2,1071.7,11.8,44.0,910.1,105.8,228.4,Kerala,0
29.2,77.9,2.4,341.8,3.6,49.7,234.7,53.8,71.3,Bihar,0
30.4,72.3,6.6,679.9,22.0,48.8,549.5,59.6,114.4,Coastal Karnataka,0
29.2,69.8,3.0,719.6,34.9,30.6,570.9,83.2,164.8,Madhya Maharashtra,0
21.5,65.3,3.5,1270.4,29.7,1.3,1146.6,92.8,279.1,Bihar,1
24.5,83.5,2.1,1242.1,0.0,40.0,1161.6,40.5,315.6,Vidarbha,1
26.1,81.4,4.0,1222.5,50.6,65.8,997.2,108.9,238.6,Madhya Maharashtra,1
