TEMP,HUMIDITY,CLOUD_COVER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JUN_SEP,ANNUAL,FLOOD
30.1,75.0,32.0,0.0,13.5,2.3,28.1,66.1,130.5,267.3,349.5,198.9,80.0,24.2,26.5,946.3,1186.9,0
28.7,71.0,39.0,4.4,12.7,10.9,31.0,88.5,325.0,336.0,176.2,260.9,52.8,15.9,13.3,1098.1,1327.6,0
30.4,75.0,34.0,26.4,1.8,7.6,39.8,77.5,265.5,322.4,266.0,167.5,106.8,50.7,13.4,1021.4,1345.3,1
32.4,77.0,36.0,18.0,15.3,19.5,27.9,69.6,242.1,315.6,290.6,207.8,111.6,50.3,15.7,1056.1,1384.0,0
28.5,74.0,51.0,44.7,39.3,43.3,37.5,120.4,330.5,389.2,314.3,257.0,96.5,44.5,45.4,1291.1,1762.6,1
28.5,74.0,,28.5,25.0,50.2,56.7,42.5,363.7,290.1,320.3,160.3,127.5,48.3,28.5,1134.4,1541.6,1
32.5,70.0,28.0,0.0,0.0,0.0,11.6,84.2,79.1,248.7,298.6,312.5,72.6,6.1,8.5,938.9,1122.0,0
30.7,70.0,45.0,27.5,27.0,9.9,56.7,39.7,287.7,313.1,291.7,205.1,61.8,44.2,32.3,1097.6,1396.7,0
28.0,66.0,44.0,0.0,22.6,26.6,13.0,50.7,174.7,264.8,261.9,199.6,61.9,23.5,19.1,901.0,1118.3,0
30.2,84.0,29.0,17.5,20.4,19.4,54.7,75.0,293.3,346.3,272.2,262.4,124.3,23.5,12.7,1174.1,1521.5,1
28.0,67.0,,12.5,21.3,18.6,60.6,64.3,264.2,264.4,251.7,238.4,94.9,18.6,16.8,1018.7,1326.3,1
28.0,70.0,50.0,28.7,15.5,39.3,43.3,102.9,307.8,336.4,348.5,214.5,88.7,42.7,40.5,1207.1,1608.7,1
29.5,70.0,29.0,0.0,0.0,0.0,0.0,23.8,207.5,279.0,227.5,180.9,43.5,19.8,0.0,894.9,982.1,0
24.8,79.0,31.0,16.6,10.0,31.3,28.5,73.6,155.4,321.3,337.5,130.7,75.5,33.5,8.4,944.9,1222.3,0
25.2,72.0,46.0,30.5,30.5,36.8,45.2,68.4,245.2,292.4,301.1,185.0,88.9,30.7,22.8,1023.7,1377.5,0
27.8,81.0,40.0,39.9,35.0,32.4,60.8,94.9,301.4,308.7,278.8,242.3,87.9,56.8,33.4,1131.1,1572.0,1
26.8,70.0,42.0,5.5,27.0,42.2,26.3,67.1,314.2,314.2,324.3,218.4,44.9,23.8,11.6,1171.0,1419.3,0
29.7,76.0,41.0,22.5,20.8,33.7,63.5,81.7,205.3,331.9,257.6,264.8,128.3,50.5,40.0,1059.6,1500.6,0
27.0,69.0,41.0,19.0,17.4,14.9,16.0,53.4,310.9,304.1,321.4,189.0,108.7,54.7,0.0,1125.4,1409.6,1
25.9,87.0,27.0,31.0,24.6,40.4,22.9,68.6,233.2,421.1,311.1,146.4,67.0,34.5,32.0,1111.8,1432.8,0
32.2,67.0,46.0,3.0,15.7,23.5,47.3,74.7,278.9,249.6,254.4,246.6,92.4,38.6,6.7,1029.5,1331.4,0
28.5,76.0,47.0,38.4,37.1,46.6,28.3,109.5,252.6,326.7,341.3,285.2,88.0,41.7,30.9,1205.8,1626.3,1
29.1,78.0,36.0,4.4,16.4,52.1,37.8,63.2,275.2,220.8,326.9,245.6,88.7,33.9,7.1,1068.5,1372.1,0
25.9,76.0,38.0,19.8,22.3,23.6,76.8,57.0,313.5,336.7,361.5,197.0,85.8,34.8,18.0,1208.8,1546.8,1
27.8,73.0,26.0,6.4,0.0,0.0,11.1,58.5,168.7,219.3,322.2,223.2,55.5,3.9,6.3,933.4,1075.0,0
29.2,73.0,42.0,12.4,24.9,28.2,26.6,74.3,227.6,298.3,323.5,359.3,145.1,64.6,25.1,1208.7,,1
26.5,74.0,43.0,17.3,27.7,41.7,43.3,95.6,279.2,296.7,233.6,214.2,88.0,35.3,17.4,1023.6,1390.0,1
