,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
MonsoonIntensity,6000.0,4.992585,2.148166862991221,0.0,3.54,5.005,6.442500000000001,10.0,-0.004734842646172695,-0.33431453511981735
Rainfall_mm,5820.0,164.08941700143686,91.90420208662907,7.6,103.6,147.8,206.4,1720.088547471188,3.4440529192146165,35.37475240488284
Temperature_C,6000.0,27.004116666666665,4.008095415264611,11.6,24.3,27.0,29.8,42.8,-0.0020585345938838717,-0.013381552899936366
Humidity_pct,5880.0,69.89100340136054,11.731759385326878,28.1,61.7,70.0,77.9,100.0,-0.019149384984294377,-0.1709202258916256
River_Discharge_m3s,6000.0,450.21995165130363,274.1736278984476,16.1,253.075,397.6,589.3499999999999,3943.489161409931,1.851377163749121,10.202286517840957
Water_Level_m,5850.0,4.563049572649573,1.9569328426726125,0.0,3.24,4.56,5.91,11.57,0.03013307757339011,-0.19435452545019327
Elevation_m,6000.0,149.33101666666667,148.7210132863943,0.0,44.175000000000004,102.5,207.325,1200.0,1.9419477999387365,5.309557628623515
Population_Density,6000.0,799.9905,564.8358460637772,12.0,385.0,679.0,1071.25,4667.0,1.4999221086169967,3.632351131290747
Drainage_Quality_Score,5880.0,5.025066326530612,2.2788431133769875,0.0,3.44,5.04,6.6,10.0,0.008641414336534634,-0.44816033729387783
Historical_Floods_Count,6000.0,1.1038333333333334,1.0508263470038623,0.0,0.0,1.0,2.0,7.0,0.9939829121265782,1.252080165796932
Deforestation_Index,6000.0,4.991015,2.3801267375897233,0.0,3.32,4.97,6.67,10.0,0.015418182890324388,-0.5258887788006685
Climate_Change_Index,6000.0,4.927765,1.972095243148686,0.0,3.59,4.96,6.28,10.0,-0.044517356825812364,-0.2604390026238894
